No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,time 2,time1,delay 1,delay 2,jitter
323,2.886469,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,2.889029,2.886469,0.00256,0,0.00256
324,2.889029,198.251.205.77,192.168.1.36,TLSv1.2,255,Application Data,,,,,,,,2.889029,2.889029,0,0.000107,0.000107
325,2.889029,198.251.205.77,192.168.1.36,TLSv1.2,125,Application Data,,,,,,,,2.889136,2.889029,0.000107,0.02237,0.022263
326,2.889136,192.168.1.36,198.251.205.77,TCP,54,50988  >  443 [ACK] Seq=419 Ack=3359 Win=514 Len=0,,,,,,,,2.911506,2.889136,0.02237,0.027706,0.005336
329,2.911506,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=3359 Ack=419 Win=512 Len=0,,,,,,,,2.939212,2.911506,0.027706,0.00126,0.026446
331,2.939212,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,2.940472,2.939212,0.00126,0.041288,0.040028
332,2.940472,198.251.205.77,192.168.1.36,TLSv1.2,115,Application Data,,,,,,,,2.98176,2.940472,0.041288,0.016079,0.025209
340,2.98176,192.168.1.36,198.251.205.77,TCP,54,50988  >  443 [ACK] Seq=457 Ack=3420 Win=514 Len=0,,,,,,,,2.997839,2.98176,0.016079,0.006047,0.010032
344,2.997839,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,3.003886,2.997839,0.006047,0.019173,0.013126
345,3.003886,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=3420 Ack=457 Win=512 Len=0,,,,,,,,3.023059,3.003886,0.019173,0.197605,0.178432
347,3.023059,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=3420 Ack=495 Win=512 Len=0,,,,,,,,3.220664,3.023059,0.197605,0.010635,0.18697
371,3.220664,198.251.205.77,192.168.1.36,TLSv1.2,878,Application Data,,,,,,,,3.231299,3.220664,0.010635,0.026275,0.01564
372,3.231299,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,3.257574,3.231299,0.026275,0.477135,0.45086
374,3.257574,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4244 Ack=533 Win=512 Len=0,,,,,,,,3.734709,3.257574,0.477135,0.00033,0.476805
422,3.734709,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,3.735039,3.734709,0.00033,0.025159,0.024829
423,3.735039,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,3.760198,3.735039,0.025159,0.22672,0.201561
425,3.760198,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4313 Ack=571 Win=512 Len=0,,,,,,,,3.986918,3.760198,0.22672,0.010638,0.216082
451,3.986918,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,3.997556,3.986918,0.010638,0.025047,0.014409
454,3.997556,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,4.022603,3.997556,0.025047,0.459118,0.434071
456,4.022603,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4382 Ack=609 Win=512 Len=0,,,,,,,,4.481721,4.022603,0.459118,0.009921,0.449197
502,4.481721,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,4.491642,4.481721,0.009921,0.024956,0.015035
503,4.491642,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,4.516598,4.491642,0.024956,0.217457,0.192501
508,4.516598,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4451 Ack=647 Win=512 Len=0,,,,,,,,4.734055,4.516598,0.217457,0.000527,0.21693
532,4.734055,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,4.734582,4.734055,0.000527,0.027268,0.026741
533,4.734582,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,4.76185,4.734582,0.027268,0.224642,0.197374
534,4.76185,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4520 Ack=685 Win=512 Len=0,,,,,,,,4.986492,4.76185,0.224642,0.00037,0.224272
552,4.986492,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,4.986862,4.986492,0.00037,0.025036,0.024666
553,4.986862,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,5.011898,4.986862,0.025036,0.229188,0.204152
557,5.011898,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4589 Ack=723 Win=512 Len=0,,,,,,,,5.241086,5.011898,0.229188,0.01016,0.219028
579,5.241086,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,5.251246,5.241086,0.01016,0.025423,0.015263
580,5.251246,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,5.276669,5.251246,0.025423,0.345703,0.32028
583,5.276669,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4658 Ack=761 Win=512 Len=0,,,,,,,,5.622372,5.276669,0.345703,0.024846,0.320857
613,5.622372,192.168.1.36,198.251.205.77,TLSv1.2,122,Application Data,,,,,,,,5.647218,5.622372,0.024846,0.000657,0.024189
615,5.647218,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4658 Ack=829 Win=512 Len=0,,,,,,,,5.647875,5.647218,0.000657,0.028102,0.027445
616,5.647875,198.251.205.77,192.168.1.36,TLSv1.2,126,Application Data,,,,,,,,5.675977,5.647875,0.028102,0.064739,0.036637
619,5.675977,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,5.740716,5.675977,0.064739,0.225566,0.160827
627,5.740716,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=4730 Ack=867 Win=512 Len=0,,,,,,,,5.966282,5.740716,0.225566,0.009191,0.216375
650,5.966282,198.251.205.77,192.168.1.36,TLSv1.2,133,Application Data,,,,,,,,5.975473,5.966282,0.009191,0.01213,0.002939
652,5.975473,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,5.987603,5.975473,0.01213,0.013009,0.000879
